%--------------------------------% 
%   BLADE STIFFNESS DEFINITION   % 
%--------------------------------% 

% Radial Position [-]    Stiffness about Chord Line [Nm2]     Stiffness perpendicular to Chord Line [Nm2]   Torsional rigidity [Nm2]    Neutral axis [%chord] 



0.0000     4.648781e+09    4.648088e+09    2.107104e+09    50.000000        
0.0111     3.651671e+09    3.739824e+09    1.661086e+09    49.959985        
0.0222     2.652764e+09    2.829923e+09    1.214265e+09    49.919897        
0.0333     1.657450e+09    1.923296e+09    7.690508e+08    49.357807        
0.0444     1.550718e+09    1.898204e+09    7.086734e+08    49.460830        
0.0556     1.550175e+09    1.978263e+09    6.943205e+08    48.985645        
0.0667     1.549634e+09    2.058251e+09    6.799805e+08    48.020942        
0.0778     1.547723e+09    2.095820e+09    6.417446e+08    47.345523        
0.0889     1.545456e+09    2.122342e+09    5.972856e+08    46.907234        
0.1000     1.543188e+09    2.148865e+09    5.528266e+08    46.620854        
0.1111     1.538580e+09    2.239261e+09    5.190242e+08    46.113659        
0.1222     1.532918e+09    2.358405e+09    4.900180e+08    45.607757        
0.1333     1.527257e+09    2.477550e+09    4.610117e+08    45.237651        
0.1444     1.480748e+09    2.461884e+09    4.170514e+08    44.808931        
0.1556     1.405298e+09    2.350826e+09    3.624713e+08    44.418544        
0.1667     1.329916e+09    2.239867e+09    3.079403e+08    44.232465        
0.1778     1.256654e+09    2.158527e+09    2.649938e+08    44.240614        
0.1889     1.185664e+09    2.108891e+09    2.344467e+08    44.453824        
0.1950     1.146622e+09    2.081592e+09    2.176473e+08    44.697143        
0.2000     1.114673e+09    2.059254e+09    2.038997e+08    44.907510        
0.2111     1.047896e+09    2.023137e+09    1.815881e+08    45.247336        
0.2222     9.880156e+08    2.009149e+09    1.727561e+08    45.202708        
0.2333     9.281353e+08    1.995162e+09    1.639240e+08    45.198410        
0.2444     8.690395e+08    1.970560e+09    1.548623e+08    45.224924        
0.2556     8.119550e+08    1.917999e+09    1.451876e+08    45.270190        
0.2667     7.549219e+08    1.865485e+09    1.355216e+08    45.339829        
0.2778     6.993987e+08    1.810566e+09    1.260201e+08    45.402066        
0.2889     6.511124e+08    1.744120e+09    1.173070e+08    45.348230        
0.3000     6.028261e+08    1.677674e+09    1.085938e+08    45.297049        
0.3111     5.552212e+08    1.611277e+09    9.999812e+07    45.249900        
0.3222     5.168281e+08    1.545529e+09    9.299097e+07    45.244185        
0.3333     4.784349e+08    1.479781e+09    8.598382e+07    45.240230        
0.3444     4.400418e+08    1.414034e+09    7.897667e+07    45.237517        
0.3556     4.082589e+08    1.348687e+09    7.351605e+07    45.250315        
